sourcePort,destinationPort,packetCount,bytes,duration,flowRate,label
4567,80,120,15000,12,1250,BENIGN
4568,443,95,12000,10,1200,BENIGN
5234,80,150,18000,15,1200,BENIGN
3456,443,110,14000,11,1272,BENIGN
6000,53,300,32000,18,1777,BENIGN
4321,80,130,16000,13,1230,BENIGN
5500,443,100,13000,10,1300,BENIGN
6100,53,280,30000,17,1764,BENIGN
7890,443,140,17000,14,1214,BENIGN
4000,80,125,15000,12,1250,BENIGN
5000,22,450,56000,25,2240,Port Scan
5100,22,520,68000,30,2266,Port Scan
5200,23,600,72000,32,2250,Port Scan
5300,21,480,61000,27,2259,Port Scan
5400,22,700,85000,35,2428,Port Scan
5500,23,650,79000,34,2323,Port Scan
5600,21,580,70000,29,2413,Port Scan
5700,22,750,92000,38,2421,Port Scan
5800,23,680,83000,36,2305,Port Scan
5900,21,800,98000,40,2450,Port Scan
3200,80,1200,180000,8,22500,DDoS
3300,443,1500,220000,7,31428,DDoS
3400,80,1800,260000,9,28888,DDoS
3500,443,2100,310000,10,31000,DDoS
3600,80,2500,380000,11,34545,DDoS
3700,443,2800,420000,12,35000,DDoS
3800,80,3200,480000,13,36923,DDoS
3900,443,3500,530000,14,37857,DDoS
4100,80,4000,600000,15,40000,DDoS
4200,443,4500,680000,16,42500,DDoS
6100,445,300,45000,20,1500,Brute Force
6200,445,350,52000,22,1590,Brute Force
6300,445,400,60000,24,1666,Brute Force
6400,3389,450,70000,26,1730,Brute Force
6500,3389,500,76000,28,1785,Brute Force
6600,3389,550,84000,30,1833,Brute Force
6700,445,600,90000,32,1875,Brute Force
6800,3389,650,98000,34,1911,Brute Force
6900,445,700,105000,36,1944,Brute Force
7000,3389,750,112000,38,1973,Brute Force
